city,country,continent,climate_zone,month,season,avg_temp,avg_max_temp,avg_min_temp,avg_humidity,avg_precip,total_precip,avg_wind,avg_comfort,extreme_events
Istanbul,Turkey,Europe,Mediterranean,10,Autumn,8.99,22.6,-4.2,50.02,0.04,7.35,10.51,54.73,2
Istanbul,Turkey,Europe,Mediterranean,11,Autumn,4.39,16.3,-7.3,51.08,0.05,9.38,10.17,40.85,2
Istanbul,Turkey,Europe,Mediterranean,12,Winter,2.91,14.4,-10.0,50.75,0.04,9.23,9.86,36.87,1
Jakarta,Indonesia,Asia,Tropical Rainforest,1,Summer,4.84,18.9,-11.4,49.53,0.05,9.91,10.79,42.3,2
Jakarta,Indonesia,Asia,Tropical Rainforest,2,Summer,8.78,26.8,-5.7,49.89,0.06,10.49,10.51,53.92,3
Jakarta,Indonesia,Asia,Tropical Rainforest,3,Autumn,15.17,28.5,2.2,48.22,0.04,8.74,10.46,72.13,2
Jakarta,Indonesia,Asia,Tropical Rainforest,4,Autumn,21.09,34.8,5.0,50.05,0.05,9.53,10.21,79.15,2
Jakarta,Indonesia,Asia,Tropical Rainforest,5,Autumn,25.45,37.2,14.2,50.13,0.05,10.07,10.28,75.29,0
Jakarta,Indonesia,Asia,Tropical Rainforest,6,Winter,27.06,42.1,12.8,50.56,0.03,7.04,10.32,71.02,2
Jakarta,Indonesia,Asia,Tropical Rainforest,7,Winter,25.39,40.1,12.4,48.87,0.04,8.59,10.58,75.57,5
Jakarta,Indonesia,Asia,Tropical Rainforest,8,Winter,21.1,34.9,7.6,49.75,0.03,6.64,10.34,79.73,4
Jakarta,Indonesia,Asia,Tropical Rainforest,9,Spring,14.99,29.1,0.9,51.71,0.05,10.9,10.0,70.75,2
Jakarta,Indonesia,Asia,Tropical Rainforest,10,Spring,8.27,20.9,-3.6,48.06,0.04,7.74,10.32,52.89,1
Jakarta,Indonesia,Asia,Tropical Rainforest,11,Spring,5.28,18.1,-6.2,49.38,0.05,10.47,9.77,44.2,4
Jakarta,Indonesia,Asia,Tropical Rainforest,12,Summer,3.08,15.7,-15.2,49.08,0.06,11.7,10.16,37.59,2
Johannesburg,South Africa,Africa,Semi-Arid,1,Summer,4.76,22.6,-10.8,52.38,0.04,9.78,10.64,41.67,5
Johannesburg,South Africa,Africa,Semi-Arid,2,Summer,9.29,22.6,-6.7,50.08,0.05,8.63,10.13,55.92,2
Johannesburg,South Africa,Africa,Semi-Arid,3,Autumn,14.87,29.2,2.5,52.32,0.05,9.66,10.2,70.13,3
Johannesburg,South Africa,Africa,Semi-Arid,4,Autumn,21.21,37.9,6.3,50.81,0.03,6.62,10.57,79.51,4
Johannesburg,South Africa,Africa,Semi-Arid,5,Autumn,25.26,39.4,12.4,51.88,0.04,9.3,10.17,75.01,3
Johannesburg,South Africa,Africa,Semi-Arid,6,Winter,26.86,40.0,14.4,52.27,0.03,6.08,10.51,70.04,1
Johannesburg,South Africa,Africa,Semi-Arid,7,Winter,25.95,41.9,11.5,48.0,0.03,6.66,10.3,73.98,5
Johannesburg,South Africa,Africa,Semi-Arid,8,Winter,20.15,34.3,5.7,49.93,0.04,9.26,10.01,79.11,3
Johannesburg,South Africa,Africa,Semi-Arid,9,Spring,15.21,30.6,1.7,49.7,0.03,6.12,9.91,71.79,2
Johannesburg,South Africa,Africa,Semi-Arid,10,Spring,8.56,23.7,-6.0,47.2,0.06,11.78,10.1,54.48,2
Johannesburg,South Africa,Africa,Semi-Arid,11,Spring,5.15,17.3,-11.0,49.41,0.05,9.39,10.05,43.63,3
Johannesburg,South Africa,Africa,Semi-Arid,12,Summer,3.51,16.4,-7.5,48.61,0.05,10.97,9.5,38.77,1
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,1,Winter,4.56,18.7,-9.9,49.86,0.04,7.67,10.07,41.81,2
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,2,Winter,9.25,23.8,-2.0,50.76,0.05,9.18,10.37,54.98,4
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,3,Spring,14.97,27.9,1.3,47.72,0.04,8.76,10.24,71.0,2
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,4,Spring,20.79,33.5,6.5,49.1,0.06,11.48,10.42,78.64,1
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,5,Spring,25.3,35.3,10.6,49.1,0.06,11.44,9.84,75.09,3
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,6,Summer,27.75,42.8,16.9,48.99,0.05,10.97,9.6,70.39,3
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,7,Summer,25.44,36.4,9.7,51.12,0.06,12.32,10.8,74.01,2
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,8,Summer,20.77,32.6,7.9,52.63,0.06,11.45,10.82,78.15,1
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,9,Autumn,14.76,26.5,2.1,50.55,0.05,9.51,10.31,70.63,2
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,10,Autumn,9.4,25.3,-3.6,51.13,0.05,10.68,10.3,55.95,3
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,11,Autumn,4.73,23.8,-9.8,51.46,0.06,11.31,9.93,41.96,4
Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,12,Winter,2.15,17.1,-9.6,52.94,0.05,10.1,10.4,33.62,1
Lagos,Nigeria,Africa,Tropical Savanna,1,Winter,5.21,16.6,-8.0,50.68,0.05,11.85,9.87,43.71,2
Lagos,Nigeria,Africa,Tropical Savanna,2,Winter,8.69,24.7,-3.4,52.36,0.03,6.42,10.64,53.19,1
Lagos,Nigeria,Africa,Tropical Savanna,3,Spring,15.22,31.4,4.9,52.96,0.05,10.55,10.1,71.52,2
Lagos,Nigeria,Africa,Tropical Savanna,4,Spring,20.94,32.8,9.1,50.18,0.05,9.13,10.24,80.05,2
Lagos,Nigeria,Africa,Tropical Savanna,5,Spring,25.69,39.6,11.9,51.5,0.05,9.87,10.73,73.75,3
Lagos,Nigeria,Africa,Tropical Savanna,6,Summer,27.26,42.3,14.1,48.96,0.03,5.36,9.67,70.49,2
Lagos,Nigeria,Africa,Tropical Savanna,7,Summer,24.85,42.3,11.3,48.77,0.03,6.66,9.6,76.54,4
Lagos,Nigeria,Africa,Tropical Savanna,8,Summer,21.01,38.2,-1.3,50.32,0.05,9.55,10.11,77.98,3
Lagos,Nigeria,Africa,Tropical Savanna,9,Autumn,14.97,30.0,1.8,51.16,0.05,10.23,10.23,70.37,1
Lagos,Nigeria,Africa,Tropical Savanna,10,Autumn,9.23,21.0,-2.1,49.21,0.06,11.89,10.88,55.73,0
Lagos,Nigeria,Africa,Tropical Savanna,11,Autumn,4.35,18.2,-8.2,50.31,0.04,7.95,10.34,40.87,3
Lagos,Nigeria,Africa,Tropical Savanna,12,Winter,3.41,18.5,-10.7,49.9,0.05,10.17,10.76,37.87,3
Lima,Peru,South America,Desert,1,Summer,4.14,17.9,-8.8,50.74,0.03,7.27,10.34,40.28,2
Lima,Peru,South America,Desert,2,Summer,9.47,21.7,-5.2,50.1,0.06,12.04,10.17,56.34,2
Lima,Peru,South America,Desert,3,Autumn,14.89,26.3,3.0,50.99,0.03,6.89,9.44,71.47,1
Lima,Peru,South America,Desert,4,Autumn,21.24,33.4,5.0,49.21,0.04,8.39,9.66,79.43,2
Lima,Peru,South America,Desert,5,Autumn,25.57,41.7,12.9,48.84,0.05,10.17,10.81,73.45,2
Lima,Peru,South America,Desert,6,Winter,27.04,39.5,14.8,50.43,0.04,7.97,9.51,71.08,0
Lima,Peru,South America,Desert,7,Winter,25.05,38.1,13.0,51.39,0.05,9.88,10.97,75.16,3
Lima,Peru,South America,Desert,8,Winter,19.96,32.9,6.2,50.8,0.05,9.54,10.95,77.95,2
Lima,Peru,South America,Desert,9,Spring,15.04,27.0,-2.4,51.11,0.05,9.36,10.44,70.28,1
Lima,Peru,South America,Desert,10,Spring,8.58,20.6,-2.6,48.02,0.04,9.26,10.81,53.71,0
Lima,Peru,South America,Desert,11,Spring,4.76,19.6,-6.5,51.37,0.04,8.55,10.36,41.79,3
Lima,Peru,South America,Desert,12,Summer,3.07,21.0,-12.5,50.06,0.06,11.44,9.76,37.63,5
London,UK,Europe,Oceanic,1,Winter,4.69,18.2,-10.2,85.49,0.08,623.64,9.83,28.3,12
London,UK,Europe,Oceanic,2,Winter,6.0,20.6,-10.3,81.28,0.08,544.57,10.97,33.76,70
London,UK,Europe,Oceanic,3,Spring,7.52,30.7,-3.6,78.36,0.08,586.72,10.31,40.0,136
London,UK,Europe,Oceanic,4,Spring,9.61,37.3,-3.1,73.04,0.06,411.3,8.75,49.15,165
London,UK,Europe,Oceanic,5,Spring,13.32,40.4,0.7,72.96,0.08,588.27,8.49,59.71,143
London,UK,Europe,Oceanic,6,Summer,16.69,42.0,6.2,71.7,0.08,624.39,8.54,68.35,150
London,UK,Europe,Oceanic,7,Summer,18.54,39.3,8.8,69.93,0.08,606.43,8.53,73.1,139
London,UK,Europe,Oceanic,8,Summer,18.08,35.7,5.6,73.25,0.08,575.22,8.51,71.27,165
London,UK,Europe,Oceanic,9,Autumn,15.49,31.4,-0.2,76.74,0.09,654.42,8.42,64.47,131
London,UK,Europe,Oceanic,10,Autumn,12.05,23.8,-1.6,82.4,0.1,782.14,9.14,52.21,130
London,UK,Europe,Oceanic,11,Autumn,8.07,21.3,-9.0,85.3,0.09,672.72,9.24,38.84,75
London,UK,Europe,Oceanic,12,Winter,6.69,15.3,-9.8,87.05,0.09,665.02,10.05,33.43,100
Los Angeles,USA,North America,Mediterranean,1,Winter,4.82,16.2,-9.0,50.3,0.04,9.44,11.22,41.74,1
Los Angeles,USA,North America,Mediterranean,2,Winter,9.0,28.7,-5.5,50.37,0.05,9.93,11.33,54.2,3
Los Angeles,USA,North America,Mediterranean,3,Spring,15.13,30.2,2.3,49.9,0.04,8.03,10.53,72.01,2
Los Angeles,USA,North America,Mediterranean,4,Spring,20.93,34.5,6.0,52.04,0.06,12.9,9.67,78.19,3
Los Angeles,USA,North America,Mediterranean,5,Spring,25.04,37.8,12.6,49.46,0.05,9.53,10.79,75.12,2
Los Angeles,USA,North America,Mediterranean,6,Summer,27.0,38.7,13.1,51.46,0.06,11.59,9.71,71.24,2
Los Angeles,USA,North America,Mediterranean,7,Summer,25.3,38.2,13.9,51.46,0.04,9.26,10.23,74.73,2
Los Angeles,USA,North America,Mediterranean,8,Summer,21.31,33.7,6.2,52.84,0.05,10.92,10.91,77.62,3
Los Angeles,USA,North America,Mediterranean,9,Autumn,14.62,27.4,-0.2,49.77,0.04,8.67,10.12,71.13,3
Los Angeles,USA,North America,Mediterranean,10,Autumn,8.71,19.7,-3.7,50.75,0.04,8.49,10.07,54.07,4
Los Angeles,USA,North America,Mediterranean,11,Autumn,4.59,16.2,-9.4,51.32,0.05,10.62,10.44,41.22,1
Los Angeles,USA,North America,Mediterranean,12,Winter,2.99,15.6,-6.5,51.39,0.03,6.75,10.26,36.49,2
Madrid,Spain,Europe,Mediterranean,1,Winter,5.1,19.2,-11.1,76.93,0.05,393.57,6.16,35.42,60
Madrid,Spain,Europe,Mediterranean,2,Winter,7.58,24.3,-4.3,68.98,0.04,264.29,6.64,45.72,55
Madrid,Spain,Europe,Mediterranean,3,Spring,10.24,27.7,-3.8,62.92,0.08,587.86,7.57,55.0,106
Madrid,Spain,Europe,Mediterranean,4,Spring,13.34,33.5,-1.6,58.85,0.08,599.58,6.79,64.43,77
Madrid,Spain,Europe,Mediterranean,5,Spring,18.22,39.0,3.2,49.48,0.04,319.02,7.0,75.69,39
Madrid,Spain,Europe,Mediterranean,6,Summer,23.27,40.3,8.2,42.34,0.03,220.55,6.7,77.89,19
Madrid,Spain,Europe,Mediterranean,7,Summer,27.65,42.8,11.8,31.65,0.01,76.26,6.86,74.26,11
Madrid,Spain,Europe,Mediterranean,8,Summer,26.67,41.5,10.1,34.71,0.02,137.71,6.4,76.16,17
Madrid,Spain,Europe,Mediterranean,9,Autumn,20.63,38.2,2.4,50.55,0.07,528.85,5.99,79.29,56
Madrid,Spain,Europe,Mediterranean,10,Autumn,15.69,31.1,-5.6,63.22,0.09,665.1,5.94,69.27,80
Madrid,Spain,Europe,Mediterranean,11,Autumn,9.56,21.0,-11.5,76.79,0.07,498.91,6.2,48.88,57
Madrid,Spain,Europe,Mediterranean,12,Winter,6.7,16.4,-11.5,80.69,0.06,436.45,5.6,38.77,25
Melbourne,Australia,Oceania,Oceanic,1,Summer,4.5,18.1,-8.9,48.04,0.06,12.1,9.93,42.15,4
Melbourne,Australia,Oceania,Oceanic,2,Summer,8.48,23.7,-4.9,49.02,0.04,7.06,10.99,53.25,3
Melbourne,Australia,Oceania,Oceanic,3,Autumn,15.39,28.9,1.9,49.01,0.04,8.96,10.41,72.09,2
Melbourne,Australia,Oceania,Oceanic,4,Autumn,20.23,34.5,8.1,50.93,0.04,8.75,10.17,76.78,1
Melbourne,Australia,Oceania,Oceanic,5,Autumn,25.86,41.9,12.5,50.62,0.03,7.24,10.49,72.8,3
Melbourne,Australia,Oceania,Oceanic,6,Winter,27.68,42.5,12.4,47.09,0.05,9.74,9.92,70.24,2
Melbourne,Australia,Oceania,Oceanic,7,Winter,25.2,38.5,12.8,51.12,0.04,7.45,9.67,74.62,1
Melbourne,Australia,Oceania,Oceanic,8,Winter,21.65,37.4,9.8,48.62,0.07,14.14,9.94,79.78,2
Melbourne,Australia,Oceania,Oceanic,9,Spring,15.07,32.0,3.3,51.71,0.06,12.09,9.47,71.48,2
Melbourne,Australia,Oceania,Oceanic,10,Spring,9.28,22.6,-4.4,49.62,0.03,7.02,10.58,55.87,3
Melbourne,Australia,Oceania,Oceanic,11,Spring,4.76,16.3,-8.4,50.37,0.06,11.84,9.9,42.45,1
Melbourne,Australia,Oceania,Oceanic,12,Summer,3.12,15.8,-9.0,48.24,0.05,10.29,10.66,37.68,1
Mexico City,Mexico,North America,Subtropical Highland,1,Winter,13.63,27.5,-10.0,55.16,0.01,111.63,4.79,67.54,29
Mexico City,Mexico,North America,Subtropical Highland,2,Winter,15.66,29.7,-5.0,48.52,0.02,123.61,5.01,72.37,11
Mexico City,Mexico,North America,Subtropical Highland,3,Spring,17.68,32.5,1.2,46.36,0.04,294.69,5.23,75.55,5
Mexico City,Mexico,North America,Subtropical Highland,4,Spring,19.25,35.7,7.0,45.59,0.05,388.37,5.12,78.55,4
Mexico City,Mexico,North America,Subtropical Highland,5,Spring,19.88,42.5,7.4,52.66,0.1,774.89,4.83,77.71,19
Mexico City,Mexico,North America,Subtropical Highland,6,Summer,18.69,41.0,10.0,65.28,0.22,1653.79,4.86,74.14,134
Mexico City,Mexico,North America,Subtropical Highland,7,Summer,17.23,40.9,9.2,74.79,0.3,2266.95,4.08,71.32,84
Mexico City,Mexico,North America,Subtropical Highland,8,Summer,17.09,31.6,7.9,75.61,0.31,2400.47,4.27,71.03,50
Mexico City,Mexico,North America,Subtropical Highland,9,Autumn,16.68,27.9,2.0,76.13,0.29,2140.02,4.59,69.87,79
Mexico City,Mexico,North America,Subtropical Highland,10,Autumn,15.84,28.0,-2.1,72.33,0.11,862.86,5.33,68.18,77
Mexico City,Mexico,North America,Subtropical Highland,11,Autumn,15.17,28.5,-10.5,64.12,0.04,267.66,4.62,68.16,72
Mexico City,Mexico,North America,Subtropical Highland,12,Winter,13.99,27.1,-8.1,59.6,0.02,119.65,4.29,67.55,56
Moscow,Russia,Asia,Subarctic,1,Winter,4.83,18.0,-9.2,51.09,0.04,8.7,10.3,42.19,2
Moscow,Russia,Asia,Subarctic,2,Winter,9.13,24.0,-10.6,50.75,0.04,7.48,10.67,55.09,3
Moscow,Russia,Asia,Subarctic,3,Spring,15.27,29.4,2.8,49.82,0.03,6.3,10.16,72.59,1
Moscow,Russia,Asia,Subarctic,4,Spring,20.72,34.6,7.7,51.15,0.06,12.92,10.83,77.79,1
Moscow,Russia,Asia,Subarctic,5,Spring,24.97,38.7,11.9,48.38,0.04,9.19,10.38,75.16,1
Moscow,Russia,Asia,Subarctic,6,Summer,27.4,45.1,12.3,50.79,0.04,8.9,10.49,69.47,4
Moscow,Russia,Asia,Subarctic,7,Summer,25.61,40.8,13.2,49.37,0.03,7.26,10.28,73.76,2
Moscow,Russia,Asia,Subarctic,8,Summer,21.4,35.9,7.6,51.26,0.03,6.7,10.27,77.76,2
Moscow,Russia,Asia,Subarctic,9,Autumn,16.23,33.0,5.3,50.95,0.05,9.92,10.31,73.55,1
Moscow,Russia,Asia,Subarctic,10,Autumn,8.84,27.6,-4.5,50.76,0.04,8.29,10.02,54.26,3
Moscow,Russia,Asia,Subarctic,11,Autumn,5.21,21.3,-8.4,49.28,0.07,13.33,9.89,43.91,3
Moscow,Russia,Asia,Subarctic,12,Winter,2.72,17.3,-9.4,50.02,0.07,14.73,9.49,36.44,2
Mumbai,India,Asia,Tropical Monsoon,1,Winter,4.38,17.3,-10.6,51.38,0.06,13.07,10.85,40.78,3
Mumbai,India,Asia,Tropical Monsoon,2,Winter,9.12,21.3,-4.7,50.81,0.03,6.48,10.1,55.03,1
Mumbai,India,Asia,Tropical Monsoon,3,Spring,15.38,27.0,-4.1,45.48,0.03,7.17,10.04,73.76,2
Mumbai,India,Asia,Tropical Monsoon,4,Spring,20.9,38.0,3.0,51.62,0.05,9.67,9.57,78.84,3
Mumbai,India,Asia,Tropical Monsoon,5,Spring,25.29,41.5,12.8,50.63,0.05,9.94,10.87,74.47,5
Mumbai,India,Asia,Tropical Monsoon,6,Summer,27.21,42.2,13.5,49.42,0.04,7.83,10.17,71.14,2
Mumbai,India,Asia,Tropical Monsoon,7,Summer,25.25,37.8,12.4,48.98,0.04,7.83,10.57,75.39,2
Mumbai,India,Asia,Tropical Monsoon,8,Summer,21.24,33.2,6.8,49.88,0.04,9.01,10.12,79.65,2
Mumbai,India,Asia,Tropical Monsoon,9,Autumn,15.32,28.3,1.3,47.77,0.05,10.37,10.27,72.34,2
Mumbai,India,Asia,Tropical Monsoon,10,Autumn,8.95,22.2,-2.4,51.88,0.04,9.29,11.06,53.74,2
Mumbai,India,Asia,Tropical Monsoon,11,Autumn,5.2,18.9,-11.8,49.92,0.04,8.08,10.04,43.71,2
Mumbai,India,Asia,Tropical Monsoon,12,Winter,2.51,13.2,-9.4,46.96,0.05,11.07,10.16,36.27,1
Nairobi,Kenya,Africa,Tropical Savanna,1,Summer,4.97,16.0,-8.7,47.23,0.05,11.86,10.68,43.33,3
Nairobi,Kenya,Africa,Tropical Savanna,2,Summer,9.11,25.4,-4.0,47.68,0.03,6.4,10.1,55.98,2
Nairobi,Kenya,Africa,Tropical Savanna,3,Autumn,15.11,28.6,1.6,48.67,0.05,9.68,10.03,72.67,5
Nairobi,Kenya,Africa,Tropical Savanna,4,Autumn,20.93,39.6,7.2,50.05,0.06,12.73,10.23,77.93,2
Nairobi,Kenya,Africa,Tropical Savanna,5,Autumn,25.57,37.5,11.4,48.01,0.05,9.95,10.12,74.66,1
Nairobi,Kenya,Africa,Tropical Savanna,6,Winter,26.75,39.1,11.4,52.32,0.03,5.6,10.63,71.27,3
Nairobi,Kenya,Africa,Tropical Savanna,7,Winter,25.27,37.4,11.9,51.11,0.05,11.14,9.66,75.68,2
Nairobi,Kenya,Africa,Tropical Savanna,8,Winter,20.96,32.2,7.3,50.0,0.04,7.47,10.03,78.59,1
Nairobi,Kenya,Africa,Tropical Savanna,9,Spring,15.0,29.6,0.8,48.72,0.03,5.13,10.17,71.52,3
Nairobi,Kenya,Africa,Tropical Savanna,10,Spring,9.7,23.9,-5.5,50.39,0.05,10.21,10.17,56.98,5
Nairobi,Kenya,Africa,Tropical Savanna,11,Spring,5.28,18.1,-8.1,50.06,0.05,10.15,10.47,43.34,2
Nairobi,Kenya,Africa,Tropical Savanna,12,Summer,3.0,17.8,-13.3,48.28,0.03,5.41,9.73,37.57,3
New York,USA,North America,Humid Continental,1,Winter,0.52,18.9,-20.5,67.2,0.13,1007.02,9.09,24.97,130
New York,USA,North America,Humid Continental,2,Winter,1.4,23.7,-19.8,68.76,0.13,921.58,8.82,27.3,129
New York,USA,North America,Humid Continental,3,Spring,5.14,27.2,-17.0,65.35,0.15,1164.09,9.5,38.7,121
New York,USA,North America,Humid Continental,4,Spring,10.74,36.0,-3.5,66.59,0.15,1081.88,9.25,54.12,125
New York,USA,North America,Humid Continental,5,Spring,16.4,37.9,0.7,70.15,0.12,954.11,8.04,66.67,83
New York,USA,North America,Humid Continental,6,Summer,21.48,41.8,9.2,70.17,0.14,1003.42,7.66,74.26,72
New York,USA,North America,Humid Continental,7,Summer,24.9,42.3,12.3,72.64,0.18,1403.34,6.7,71.73,68
New York,USA,North America,Humid Continental,8,Summer,23.87,37.5,7.8,73.14,0.15,1165.83,6.76,73.2,88
New York,USA,North America,Humid Continental,9,Autumn,20.24,35.9,1.5,73.89,0.16,1211.4,7.39,73.47,107
New York,USA,North America,Humid Continental,10,Autumn,14.37,32.2,-4.8,73.27,0.16,1261.82,8.19,62.7,78
New York,USA,North America,Humid Continental,11,Autumn,7.9,27.0,-9.0,69.34,0.1,768.98,8.32,46.12,93
New York,USA,North America,Humid Continental,12,Winter,3.44,20.1,-18.5,72.68,0.15,1152.26,8.1,31.54,87
Oslo,Norway,Europe,Subarctic,1,Winter,4.59,19.7,-7.9,48.93,0.03,6.64,10.36,42.18,1
Oslo,Norway,Europe,Subarctic,2,Winter,9.64,21.0,-4.9,50.66,0.06,10.63,10.45,56.73,1
Oslo,Norway,Europe,Subarctic,3,Spring,14.64,28.2,-0.1,49.84,0.04,8.6,10.65,69.92,2
Oslo,Norway,Europe,Subarctic,4,Spring,21.09,34.6,5.1,49.03,0.03,5.38,9.97,79.78,4
Oslo,Norway,Europe,Subarctic,5,Spring,25.43,39.7,12.3,50.23,0.03,7.21,10.41,75.19,3
Oslo,Norway,Europe,Subarctic,6,Summer,27.45,43.2,11.8,49.22,0.05,9.72,11.18,69.51,3
Oslo,Norway,Europe,Subarctic,7,Summer,25.19,38.2,8.2,51.77,0.06,12.92,9.66,74.1,1
Oslo,Norway,Europe,Subarctic,8,Summer,21.18,36.2,4.5,52.9,0.05,10.9,9.75,78.68,5
Oslo,Norway,Europe,Subarctic,9,Autumn,15.29,29.3,4.1,50.52,0.05,9.87,10.29,71.91,1
Oslo,Norway,Europe,Subarctic,10,Autumn,9.37,22.0,-3.2,52.14,0.05,10.44,10.47,55.7,0
Oslo,Norway,Europe,Subarctic,11,Autumn,4.33,20.2,-9.9,51.83,0.08,15.34,10.27,40.45,5
Oslo,Norway,Europe,Subarctic,12,Winter,3.4,15.7,-8.7,51.4,0.03,5.53,10.21,37.82,2
Paris,France,Europe,Oceanic,1,Winter,4.55,18.9,-6.8,85.26,0.08,646.58,9.16,28.36,12
Paris,France,Europe,Oceanic,2,Winter,5.99,21.6,-10.1,79.49,0.08,538.09,9.7,35.18,75
Paris,France,Europe,Oceanic,3,Spring,8.15,28.0,-3.5,75.96,0.09,709.37,9.14,43.6,126
Paris,France,Europe,Oceanic,4,Spring,10.94,36.2,-2.2,70.15,0.07,515.03,7.79,54.61,102
Paris,France,Europe,Oceanic,5,Spring,14.65,41.3,1.9,71.3,0.1,799.41,7.57,64.04,124
Paris,France,Europe,Oceanic,6,Summer,18.77,43.4,6.3,68.89,0.1,725.06,7.03,72.78,115
Paris,France,Europe,Oceanic,7,Summer,20.71,40.7,8.4,63.12,0.06,467.17,7.22,77.15,121
Paris,France,Europe,Oceanic,8,Summer,20.36,37.3,8.0,65.84,0.09,685.2,6.82,76.1,126
Paris,France,Europe,Oceanic,9,Autumn,16.93,33.7,-1.2,70.96,0.08,600.43,7.17,69.66,105
Paris,France,Europe,Oceanic,10,Autumn,12.92,27.0,-7.5,79.65,0.09,716.94,7.97,56.43,146
Paris,France,Europe,Oceanic,11,Autumn,8.21,20.7,-9.6,84.54,0.09,670.47,8.61,39.95,75
Paris,France,Europe,Oceanic,12,Winter,6.03,15.9,-10.2,87.01,0.1,757.92,9.09,31.93,37
Phoenix,USA,North America,Desert,1,Winter,11.57,27.8,-10.2,54.97,0.04,340.66,5.29,62.22,39
Phoenix,USA,North America,Desert,2,Winter,13.89,30.6,-4.4,45.91,0.04,306.16,5.81,68.94,14
Phoenix,USA,North America,Desert,3,Spring,17.91,35.3,1.1,37.72,0.04,276.26,6.08,76.49,33
Phoenix,USA,North America,Desert,4,Spring,23.42,39.8,3.7,22.15,0.01,50.24,6.71,79.42,25
Phoenix,USA,North America,Desert,5,Spring,27.44,43.4,10.7,20.03,0.01,45.95,6.83,74.46,15
Phoenix,USA,North America,Desert,6,Summer,33.59,47.7,13.4,18.03,0.01,55.57,6.71,58.55,18
Phoenix,USA,North America,Desert,7,Summer,35.09,46.9,9.4,31.26,0.07,503.17,6.63,52.91,54
Phoenix,USA,North America,Desert,8,Summer,33.99,46.0,6.5,35.48,0.05,356.17,5.91,56.0,105
Phoenix,USA,North America,Desert,9,Autumn,30.86,45.4,-1.3,32.96,0.03,232.19,5.9,64.62,107
Phoenix,USA,North America,Desert,10,Autumn,24.42,43.3,-2.7,32.39,0.04,270.33,5.71,77.31,100
Phoenix,USA,North America,Desert,11,Autumn,17.3,35.7,-9.5,36.39,0.02,162.08,5.26,77.43,65
Phoenix,USA,North America,Desert,12,Winter,12.21,28.6,-10.9,49.41,0.04,340.92,4.8,65.33,60
Riyadh,Saudi Arabia,Asia,Desert,1,Winter,4.63,17.4,-10.4,51.03,0.04,9.63,10.88,41.15,5
Riyadh,Saudi Arabia,Asia,Desert,2,Winter,9.29,22.1,-1.0,47.38,0.05,9.32,10.36,56.29,2
Riyadh,Saudi Arabia,Asia,Desert,3,Spring,15.56,28.9,0.9,49.93,0.04,9.12,10.33,71.91,2
Riyadh,Saudi Arabia,Asia,Desert,4,Spring,21.67,32.6,8.4,51.79,0.03,6.77,9.99,78.68,1
Riyadh,Saudi Arabia,Asia,Desert,5,Spring,25.35,37.6,10.9,50.68,0.06,12.6,10.63,73.73,2
Riyadh,Saudi Arabia,Asia,Desert,6,Summer,27.36,39.7,13.6,50.32,0.04,8.94,10.22,70.21,3
Riyadh,Saudi Arabia,Asia,Desert,7,Summer,25.45,39.2,12.9,48.22,0.05,9.55,10.22,75.68,2
Riyadh,Saudi Arabia,Asia,Desert,8,Summer,21.0,35.9,5.4,51.7,0.03,6.64,10.56,78.48,4
Riyadh,Saudi Arabia,Asia,Desert,9,Autumn,14.99,25.7,2.1,49.92,0.07,14.45,10.26,72.33,3
Riyadh,Saudi Arabia,Asia,Desert,10,Autumn,8.9,24.3,-4.2,49.25,0.05,10.9,9.85,54.74,2
Riyadh,Saudi Arabia,Asia,Desert,11,Autumn,4.95,18.5,-10.4,48.3,0.04,7.98,10.48,43.08,3
Riyadh,Saudi Arabia,Asia,Desert,12,Winter,2.92,20.3,-11.6,50.24,0.04,8.43,10.86,36.27,4
Rome,Italy,Europe,Mediterranean,1,Winter,4.33,17.4,-8.1,50.03,0.06,12.22,10.37,40.9,2
Rome,Italy,Europe,Mediterranean,2,Winter,9.15,22.8,-5.6,51.9,0.04,7.94,10.29,54.5,4
Rome,Italy,Europe,Mediterranean,3,Spring,15.05,28.5,1.6,48.38,0.04,8.77,10.36,71.76,4
Rome,Italy,Europe,Mediterranean,4,Spring,20.89,34.4,10.0,50.43,0.04,7.38,10.45,77.57,1
Rome,Italy,Europe,Mediterranean,5,Spring,24.97,35.6,11.1,50.15,0.03,6.77,9.5,75.66,1
Rome,Italy,Europe,Mediterranean,6,Summer,27.31,40.8,14.5,49.65,0.02,4.36,10.83,69.8,1
Rome,Italy,Europe,Mediterranean,7,Summer,25.77,40.1,12.2,49.34,0.05,10.38,10.35,74.63,4
